"Minutes_Played","Goals","Total_Passes_Completed_Perc","Assists","Tackles_Interceptions","Clearances","Errors","Recoveries","Player_Positions","Age","Value_EUR","Wage_EUR","Height_cm","Nationality","Preferred_Foot","Release_Clause_EUR","Continent","Club_Ranking","League_Ranking","Contract_Years_Remained"
2292,0.04,70.5,0.04,3.65,1.88,0,6.82,3,20,1200000,1000,177,7,0,2100000,1,40,67,2
515,0,87.1,0,3.51,3.68,0,11.6,2,35,8e+05,9000,184,5,1,1400000,1,259,3,1
1077,0,70.4,0.08,4.58,3.42,0,7.75,2,27,4400000,39000,191,32,0,8700000,4,319,1,2
650,0.14,78.1,0.14,7.08,2.22,0,10.3,2,27,1.1e+07,56000,179,65,0,21700000,4,33,1,3
2463,0.04,84.4,0.04,5.04,1.93,0,10.7,3,23,5500000,16000,173,12,1,12100000,1,1639,5,5
610,0,84.5,0,5,2.35,0,6.62,2,19,450000,1000,180,21,1,1200000,4,2194,5,1
1530,0,61.8,0,0,0,0,3.59,1,31,3e+06,34000,193,4,1,5700000,1,115,1,1
792,0,78.5,0,2.84,1.02,0,6.82,2,26,1500000,7000,180,21,0,3100000,4,539,5,2
619,0,89.1,0,0,0,0.14,2.9,1,24,3e+07,40000,190,5,0,57000000,1,10,3,2
772,0.23,82.8,0.58,1.63,0.7,0,6.74,3,25,17500000,46000,182,41,0,31100000,1,25,3,4
772,0.23,82.8,0.58,1.63,0.7,0,6.74,3,25,1e+07,42000,183,41,1,16800000,1,772,8,3
2606,0.69,65.6,0.14,0.62,1.24,0,2.9,4,33,1500000,21000,187,3,1,2700000,1,88,4,2
1223,0.22,80.3,0.15,3.82,0.88,0.07,6.62,2,28,7e+06,28000,171,7,0,14700000,1,18,2,3
1223,0.22,80.3,0.15,3.82,0.88,0.07,6.62,3,19,1500000,6000,175,7,1,4000000,1,9,2,1
1223,0.22,80.3,0.15,3.82,0.88,0.07,6.62,3,19,275000,500,170,20,1,543000,2,674,53,2
432,0,87.1,0,3.13,1.04,0,12.1,3,20,2400000,8000,179,3,1,5300000,1,379,5,3
1342,0,76.6,0,4.23,2.55,0.07,8.93,2,23,8e+06,20000,175,7,0,18400000,1,40,2,1
1342,0,76.6,0,4.23,2.55,0.07,8.93,2,26,2e+06,6000,187,7,0,3400000,1,384,67,1
1342,0,76.6,0,4.23,2.55,0.07,8.93,3,23,1900000,500,166,55,1,4600000,2,182,64,2
1874,0.19,75.3,0.19,1.88,0.38,0,6.06,3,23,4600000,21000,170,3,0,9500000,1,379,5,1
244,0,70,0,2.59,2.22,0,4.81,3,33,3500000,25000,189,54,1,7400000,4,112,2,1
921,0.1,86.7,0,2.55,3.73,0,7.65,2,33,1e+07,70000,191,5,0,19000000,1,33,1,1
382,0.24,86.7,0,4.29,4.05,0,12.1,2,19,2300000,6000,188,47,1,6000000,1,682,1,3
1359,0.07,83.8,0,5.7,1.59,0,8.94,3,19,2700000,6000,195,1,1,6800000,1,2182,5,5
1875,0,64.7,0,0,0,0.1,5.24,1,32,7e+06,17000,184,30,1,14000000,4,2194,5,2
1633,0.11,86.7,0.06,4.14,0.77,0,6.24,3,21,575000,2000,182,32,1,1500000,4,475,5,4
326,0,80,0,3.06,0.56,0,7.22,4,24,6e+06,44000,172,30,0,10700000,4,10,3,1
785,0.23,78.9,0.11,2.87,0.8,0,7.47,3,27,18500000,1e+05,175,4,1,34200000,1,431,1,2
659,0.14,72,0,3.29,2.33,0.14,6.44,2,30,3600000,20000,176,54,0,7200000,4,188,5,1
777,0,74.1,0.12,3.84,0.58,0.12,8.26,3,30,4100000,25000,177,7,1,9000000,1,167,2,2
777,0,74.1,0.12,3.84,0.58,0.12,8.26,3,20,1800000,1000,183,15,1,3800000,2,973,12,1
586,0.46,73.1,0.15,0.62,0.46,0,3.69,4,26,1e+07,56000,190,5,0,17800000,1,10,3,3
2379,0,80.6,0,4.36,6.44,0.08,9.62,2,23,7e+06,18000,191,16,1,13100000,1,195,4,1
641,0.42,66,0,0.56,0.7,0,4.51,4,28,1900000,18000,181,7,0,4200000,1,1220,2,3
445,0.41,78.1,0.61,3.47,0.61,0,6.12,4,27,1.5e+07,95000,178,7,1,28500000,1,45,1,2
445,0.41,78.1,0.61,3.47,0.61,0,6.12,2,27,1800000,8000,181,15,0,3600000,2,863,67,0
445,0.41,78.1,0.61,3.47,0.61,0,6.12,2,29,850000,3000,191,7,1,1300000,1,2082,67,1
